,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_kiln_long,closest_kiln_lat,dist
1309,"27.11,83.33",0,zigzag,27.10979283763969,83.33049968566898,uttar_pradesh,24544181.51452445,14150471.811332878,0.0386876,0.0814789,24544159.849468447,14150426.183148878,24544203.17958045,14150517.439516878,584.9090239999999,536.063976,628.2391359999999,627.3203440000001,27.144289499985263,83.33094895095826,3.822680190739952
1310,"27.81,78.23",0,fcbk,27.811671942134968,78.23396996803288,uttar_pradesh,24069150.514951117,14076744.2025023,0.0666249,0.0738767,24069113.205007117,14076702.831550298,24069187.824895117,14076785.5734543,892.7178959999999,342.441848,967.337784,425.183752,27.81168329310037,78.23417953193666,0.02068709958022803
1311,"27.85,80.57",0,fcbk,27.848332568702308,80.56992584743499,uttar_pradesh,24286877.38359111,14072880.268780464,0.0188897,0.0266233,24286866.80535911,14072865.359732464,24286887.961823117,14072895.177828465,542.510248,720.864872,563.6667120000001,750.682968,27.85239837828883,80.54227785720823,2.760276201708221
1312,"26.81,83.28",0,fcbk,26.812275904508123,83.27838377208714,uttar_pradesh,24539323.95930667,14181583.857291255,0.0667002,0.036448,24539286.60719467,14181563.446411256,24539361.311418667,14181604.268171256,372.0045280000001,301.90832,446.708752,342.73008000000004,26.835188149553616,83.28588349323273,2.6459022737619224
1313,"27.04,78.58",0,fcbk,27.044292452744628,78.58046576366424,uttar_pradesh,24101446.263875555,14157328.405402604,0.0250935,0.077285,24101432.21151556,14157285.125802604,24101460.316235557,14157371.685002604,589.35996,67.52535999999999,617.4646800000002,154.08455999999998,27.040637852206164,78.54921264419559,3.1271882328988094
1314,"29.28,77.28",0,zigzag,29.28076359731677,77.28267312126157,uttar_pradesh,23980483.22229333,13920858.203526476,0.102809,0.0593553,23980425.64925333,13920824.964558477,23980540.795333333,13920891.442494474,751.5799200000001,445.163432,866.726,511.641368,29.275998983794864,77.27773364238736,0.7136552921153166
1315,"29.28,77.28",1,zigzag,29.275998983794864,77.27773364238736,uttar_pradesh,23980022.829493333,13921367.337606477,0.0507735,0.0688011,23979994.396333333,13921328.808990477,23980051.26265333,13921405.866222477,320.32699999999994,949.007864,377.19332,1026.065096,29.27490938358704,77.27577924976346,0.22507327608673125
1316,"28.19,78.54",0,zigzag,28.186296053282494,78.53417096551895,uttar_pradesh,24097131.27594133,14037197.952662602,0.0297838,0.0544355,24097114.597013336,14037167.468782602,24097147.954869334,14037228.436542602,0.0156800000000001,921.20252,33.373536,982.17028,28.19044378292526,78.52303814029696,1.1858472922030503
1317,"27.01,79.74",0,zigzag,27.007513928761472,79.73663875350961,uttar_pradesh,24209209.397120006,14161176.634433351,0.0504916,0.0574778,24209181.121824007,14161144.446865352,24209237.672416005,14161208.822001353,218.433824,787.896592,274.984416,852.271728,26.98009214662264,79.73522567310339,3.0416630716975117
1318,"26.98,79.39",0,fcbk,26.98371690252515,79.39359910907746,uttar_pradesh,24177235.784835555,14163665.90594376,0.0705445,0.0516731,24177196.27991556,14163636.96900776,24177275.289755557,14163694.84287976,855.95636,142.30658400000002,934.9662,200.180456,26.96869587018002,79.38778072223661,1.761761444771096
