,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_kiln_long,closest_kiln_lat,dist
2233,"28.35,77.38",0,zigzag,28.344871967204483,77.38197055244441,haryana,23989738.413688887,14020416.626429215,0.0725258,0.0289411,23989697.799240887,14020400.419413216,23989779.028136887,14020432.833445216,703.054352,1086.885464,784.283248,1119.299496,28.343312889622656,77.38755980262759,0.5746065306147207
2234,"28.52,76.77",0,zigzag,28.515426627940663,76.77106767196655,haryana,23932798.13824,14002339.654785618,0.0760587,0.0355377,23932755.545368,14002319.75367362,23932840.731112003,14002359.555897618,616.9213680000001,1025.229128,702.107112,1065.031352,28.51203128174964,76.78409956378935,1.3300520167249898
2235,"28.79,76.21",0,fcbk,28.78522407422149,76.20779407234187,haryana,23880297.23352889,13973684.156327248,0.0834795,0.0372546,23880250.485008884,13973663.293751247,23880343.982048888,13973705.018903248,307.64412,1047.059664,401.14116,1088.784816,28.773383236467076,76.20157668228151,1.4459661935388313
2236,"29.90,76.86",0,zigzag,29.89503797923344,76.85946239089965,haryana,23941037.1232,13855017.558661204,0.045016,0.0471372,23941011.91424,13854991.161829203,23941062.33216,13855043.955493204,484.68224,1067.095008,535.10016,1119.888672,29.8947455141327,76.85947700271609,0.03245065794891797
2237,"30.50,76.96",0,zigzag,30.49525672814108,76.95853344707487,haryana,23950271.214915555,13790290.328664966,0.0805438,0.0391262,23950226.11038756,13790268.417992966,23950316.319443557,13790312.239336966,378.202832,1051.180368,468.411888,1095.001712,30.487881248716025,76.95507410945892,0.8825294642584909
2238,"28.70,76.74",0,zigzag,28.6952093435563,76.74321617374424,haryana,23930202.190453336,13983252.926268583,0.0591468,0.0909814,23930169.068245336,13983201.976684583,23930235.31266133,13983303.875852585,826.646912,1018.100496,892.8913279999999,1119.999664,28.71272201970356,76.75021924934387,2.058044254137941
2239,"28.41,76.65",0,zigzag,28.40758253980254,76.64685153808594,haryana,23921220.355413336,14013773.36097364,0.0412535,0.0948944,23921197.253453337,14013720.220109642,23921243.457373336,14013826.50183764,243.44012,763.032256,289.64404,869.313984,28.39809082923487,76.6450277145386,1.0670026655050497
2240,"28.95,76.84",0,zigzag,28.947120416761223,76.8395782640457,haryana,23939183.78824889,13956453.387337418,0.110667,0.0663372,23939121.81472889,13956416.238505416,23939245.76176889,13956490.53616942,458.71784,829.571008,582.66488,903.868672,28.94673699484018,76.83652811946868,0.3003757970521309
2241,"28.95,76.84",1,zigzag,28.951319658245566,76.83681183624267,haryana,23938925.93848889,13956006.10077742,0.0922104,0.0417029,23938874.30066489,13955982.74715342,23938977.57631289,13956029.45440142,211.203776,396.079656,314.479424,442.786904,28.950998404089987,76.83340633163454,0.3338884874428083
2242,"28.95,76.84",2,zigzag,28.94673699484018,76.83652811946868,haryana,23938899.49416889,13956494.22701742,0.0446284,0.0872672,23938874.502264887,13956445.35738542,23938924.48607289,13956543.09664942,211.405376,858.6898879999999,261.389184,956.429152,28.947120416761223,76.8395782640457,0.3003757970521309
2243,"29.82,76.96",0,zigzag,29.818767937343395,76.96119344654083,haryana,23950519.144835558,13863214.39708969,0.0964339,0.0312158,23950465.14185156,13863196.91624169,23950573.147819556,13863231.87793769,617.234296,674.8807519999999,725.2402640000001,709.842448,29.84345830134538,76.95230263481137,2.8686397903576855
2244,"28.95,76.11",0,zigzag,28.948149804646075,76.10720772514344,haryana,23870921.906453334,13956343.74269742,0.0370453,0.0973556,23870901.161085334,13956289.22356142,23870942.65182133,13956398.26183342,278.995752,702.556064,320.486488,811.594336,28.929550489997688,76.08634557991026,2.8959717558752933
2245,"29.34,76.87",0,zigzag,29.337769537237733,76.87143621177674,haryana,23942153.16419556,13914764.855688514,0.036976,0.098284,23942132.457635555,13914709.816648517,23942173.87075556,13914819.894728512,673.15808,743.44368,714.5712,853.52176,29.337688040428592,76.87215648059843,0.07053368702512183
2246,"29.34,76.87",1,zigzag,29.337688040428592,76.87215648059843,haryana,23942220.298115555,13914773.569288513,0.0379853,0.100865,23942199.026347555,13914717.084888512,23942241.569883555,13914830.053688511,739.7267919999999,750.71192,782.2703280000001,863.68072,29.337769537237733,76.87143621177674,0.07053368702512183
2247,"28.82,76.25",0,fcbk,28.824942677616804,76.2459734231949,haryana,23883855.806951117,13969459.353581885,0.086346,0.0398466,23883807.453191116,13969437.039485885,23883904.160711117,13969481.667677885,136.34207999999998,11.853631999999998,233.0496,56.481824,28.82495824664621,76.2457336719513,0.02346388579221318
2248,"29.24,75.84",0,zigzag,29.2357765181747,75.83641230640413,haryana,23845681.944053337,13925664.459196152,0.0348267,0.0909215,23845662.44110134,13925613.543156153,23845701.44700533,13925715.375236152,206.099768,960.21548,245.105672,1062.0475600000002,29.234127187945106,75.83637628154757,0.18284473189429268
2249,"27.91,77.42",0,zigzag,27.91132187060489,77.42251123771675,haryana,23993517.07943112,14066238.309836332,0.044431,0.0789746,23993492.198071115,14066194.084060332,23993541.96079112,14066282.535612332,769.18296,376.348784,818.94568,464.800336,27.902806190203805,77.41062195148467,1.5035006972649778
2250,"30.13,77.32",0,zigzag,30.135101639315486,77.32336101818082,haryana,23984275.609155554,13829176.536936892,0.0332582,0.0181459,23984256.98456356,13829166.375232892,23984294.233747557,13829186.698640892,854.6450080000001,0.0339920000000001,891.894192,20.3574,30.13540317366197,77.32339387073515,0.033576060689742046
2251,"27.94,77.46",0,zigzag,27.93821091710128,77.46292355289454,haryana,23997283.78021333,14063401.794479094,0.0380541,0.0771199,23997262.46991733,14063358.607335094,23997305.09050933,14063444.981623096,811.184584,705.5675759999999,853.8051760000001,791.941864,27.93714054874988,77.45961740112307,0.3463322841254896
2252,"27.94,77.46",1,zigzag,27.93714054874988,77.45961740112307,haryana,23996975.624533333,14063514.720719092,0.0324868,0.0726515,23996957.43192533,14063474.035879094,23996993.81714133,14063555.405559093,506.146592,820.9961199999999,542.5318080000001,902.3658,27.93619499321304,77.45719463939665,0.26045469854968345
2253,"27.94,77.46",2,zigzag,27.93619499321304,77.45719463939665,haryana,23996749.80677333,14063614.477999091,0.034904,0.0785732,23996730.260533333,14063570.477007093,23996769.35301333,14063658.478991091,278.97520000000003,917.437248,318.06768000000005,1005.439232,27.93510820295161,77.45554634990692,0.20204426254634583
2254,"27.94,77.46",3,zigzag,27.94314824091956,77.45747708244322,haryana,23996776.132373333,14062880.881359097,0.088182,0.0368297,23996726.75045333,14062860.256727094,23996825.51429333,14062901.505991096,275.46512,207.216968,374.22896,248.466232,27.93714054874988,77.45961740112307,0.6982913964491312
2255,"29.50,76.39",0,zigzag,29.50138689628172,76.38671512908934,haryana,23896973.88472889,13897256.880930724,0.102084,0.0399458,23896916.71768889,13897234.511282723,23897031.05176889,13897279.250578724,196.6608,389.106032,310.99488,433.84532800000005,29.52303386443062,76.37899275798793,2.5135441788647546
2256,"29.38,75.00",0,zigzag,29.37904330792617,74.99654962863922,haryana,23767401.068746667,13910350.98805961,0.038545,0.0909561,23767379.483546667,13910300.05264361,23767422.653946668,13910401.92347561,216.81688,611.3956239999999,259.98728,713.2664560000001,29.44171123719533,75.01820494556429,7.257257739408049
2257,"28.62,75.88",0,zigzag,28.620294977066543,75.87940677947996,haryana,23849689.31939556,13991210.220448676,0.0406568,0.084059,23849666.55158756,13991163.147408675,23849712.08720356,13991257.293488676,481.940032,481.60616,527.475648,575.7522399999999,28.62215298127164,75.87463017940522,0.5104886071256259
2258,"28.88,77.04",0,zigzag,28.87493087185961,77.04055117549895,haryana,23957915.82128,13964139.899747135,0.0963073,0.0364819,23957861.889192,13964119.469883136,23957969.753368,13964160.329611138,557.4411920000001,1079.140216,665.3053680000002,1119.999944,28.87652467418208,77.03908237552645,0.22745537003258198
2259,"28.88,77.04",2,zigzag,28.87652467418208,77.03908237552645,haryana,23957778.9192,13963970.254467135,0.10274,0.0596905,23957721.3848,13963936.827787137,23957836.4536,13964003.681147136,416.9368,896.49812,532.0056,963.35148,28.874968413918488,77.03816461887357,0.19433843376765994
2260,"28.88,77.04",3,zigzag,28.879575441770328,77.04087555541992,haryana,23957946.05568,13963645.521667136,0.0473123,0.0871696,23957919.560792,13963596.706691137,23957972.550568,13963694.336643135,615.112792,556.377024,668.102568,654.006976,28.87652467418208,77.03908237552645,0.38069821570266227
2261,"28.07,77.45",0,zigzag,28.06925400139376,77.45307957248687,haryana,23996366.25473778,14049567.985883351,0.077938,0.0353014,23996322.60945778,14049548.217099354,23996409.90001778,14049587.754667353,803.39168,619.032176,890.6822400000001,658.569744,28.07198679853059,77.4467606227875,0.6910359429552552
2262,"28.07,77.45",1,zigzag,28.07198679853059,77.4467606227875,haryana,23995777.285937782,14049279.313723352,0.0734144,0.0438242,23995736.173873782,14049254.772171352,23995818.398001783,14049303.855275352,216.95609600000003,325.587248,299.180224,374.670352,28.07559943288233,77.4465278430939,0.40100777134641674
2263,"29.89,76.31",0,zigzag,29.890275626887167,76.31028309192659,haryana,23889849.902524445,13855529.55816398,0.0388778,0.103457,23889828.130956445,13855471.62224398,23889871.67409245,13855587.49408398,564.614512,472.43224,608.157648,588.30408,29.84804468850714,76.32922013034819,5.026125438869776
2264,"29.75,75.23",0,zigzag,29.753771321495154,75.2275614368439,haryana,23788932.929884445,13870194.731523365,0.0853585,0.0343906,23788885.129124444,13870175.472787363,23788980.73064445,13870213.990259364,284.90868,135.85790400000002,380.5102,174.37537600000002,29.75657783798948,75.2339803741455,0.6944360291398421
2265,"29.81,75.04",0,fcbk,29.810620070066413,75.04017224159242,haryana,23771466.99096889,13864089.688743092,0.0929655,0.0699229,23771414.93028889,13864050.531919092,23771519.05164889,13864128.845567092,523.9934,454.234536,628.1147599999999,532.548184,29.77908811074425,75.04545940208435,3.5324684234527
2266,"27.75,77.07",0,zigzag,27.746560757758925,77.07053885879519,haryana,23960710.875946667,14083603.537363837,0.0895087,0.0351788,23960660.751074668,14083583.837235834,23960761.000818662,14083623.237491837,560.100408,902.514592,660.350152,941.914848,27.752267809703305,77.0728473215103,0.6721332569418882
2267,"27.75,77.07",1,zigzag,27.752267809703305,77.0728473215103,haryana,23960926.040266667,14083002.474803835,0.0335408,0.0706669,23960907.257418662,14082962.901339836,23960944.823114667,14083042.048267836,806.606752,281.57869600000004,844.172448,360.725624,27.746560757758925,77.07053885879519,0.6721332569418882
2268,"29.02,76.83",1,zigzag,29.01986191880728,76.82804750804902,haryana,23938109.043893334,13948702.684184955,0.0348129,0.0867548,23938089.54866933,13948654.101496955,23938128.539117333,13948751.266872955,358.519336,526.135232,397.509784,623.300608,29.025054921939866,76.8282539960861,0.5759237996139581
2269,"29.30,76.98",0,zigzag,29.2974278131809,76.97412455617904,haryana,23951724.411610667,13919077.322449278,0.0219345,0.0475878,23951712.128290668,13919050.673281278,23951736.694930665,13919103.971617278,0.0856240000000005,808.262672,24.652264,861.5610080000001,29.28805983783296,76.98293773212433,1.3459016253733058
2270,"29.65,76.89",0,zigzag,29.64760000964091,76.89300629711147,haryana,23944163.641866665,13881587.310808634,0.0405434,0.07288,23944140.937562667,13881546.498008637,23944186.346170664,13881628.123608634,817.502896,776.5822400000001,862.911504,858.20784,29.61049192011236,76.89462588087079,4.116280537458204
2271,"29.59,75.57",0,zigzag,29.590803013562077,75.56972933292387,haryana,23820825.28933333,13887676.906322898,0.0283657,0.0636543,23820809.40454133,13887641.2599149,23820841.17412533,13887712.552730896,518.887208,438.281592,550.656792,509.57440800000006,29.61394431960853,75.55939310493468,2.7536036189097457
2272,"29.37,75.92",0,zigzag,29.37467668701113,75.91630924263,haryana,23853128.878257778,13910818.044478312,0.0801219,0.0336671,23853084.009993777,13910799.190902311,23853173.74652178,13910836.898054313,171.12821599999998,40.947368,260.86474400000003,78.65452,29.40366575985137,75.88986265373231,4.112825044633539
2273,"28.72,76.30",0,zigzag,28.71766713792165,76.30264252777097,haryana,23889137.750328887,13980866.383348355,0.0679029,0.0327519,23889099.724704888,13980848.042284356,23889175.775952887,13980884.724412356,768.275816,789.5966960000001,844.327064,826.2788240000001,28.71608555317274,76.29817039871212,0.4707908701425845
2274,"28.72,76.30",1,zigzag,28.71608555317274,76.29817039871212,haryana,23888720.917688888,13981034.471828358,0.0662169,0.0364869,23888683.836224888,13981014.03916436,23888757.999152888,13981054.904492358,352.387336,955.593576,426.550264,996.458904,28.71766713792165,76.30264252777097,0.4707908701425845
2275,"27.95,77.39",1,zigzag,27.95313831158699,77.39064778652192,haryana,23990547.190524448,14061826.804556672,0.0808456,0.0366637,23990501.916988447,14061806.272884673,23990592.464060448,14061847.336228674,575.104544,208.326888,665.651616,249.390232,27.955073944036748,77.38978877754217,0.23055872975823055
2276,"28.08,76.55",0,fcbk,28.08286511792493,76.55220884761808,haryana,23912399.01729777,14048130.136979343,0.0838049,0.0393197,23912352.08655377,14048108.117947344,23912445.94804177,14048152.156011345,718.948776,235.300968,812.8102640000001,279.33903200000003,28.089387945527942,76.55079046802517,0.7361843917299139
2277,"29.77,77.08",0,zigzag,29.765894072619496,77.08386928348543,haryana,23961953.361582223,13868893.148128944,0.0355979,0.109936,23961933.426758222,13868831.583968945,23961973.296406224,13868954.712288946,900.7085360000001,939.31264,940.578184,1062.44096,29.74868974859256,77.04761775722504,3.9913335987989633
2278,"29.14,75.46",0,zigzag,29.144647749157414,75.45652197914123,haryana,23810273.599182226,13935393.85868803,0.0848967,0.0313869,23810226.057030223,13935376.28202403,23810321.14133422,13935411.435352031,188.282808,46.436040000000006,283.367112,81.589368,29.194585598460986,75.42426262102127,6.362765315159681
