,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_kiln_long,closest_kiln_lat,dist
2195,"23.24,88.36",1,zigzag,23.23982200316128,88.36281970806121,west_bengal,25013227.736728888,14549146.601301106,0.0625824,0.0336366,25013192.690584887,14549127.764805106,25013262.78287289,14549165.437797103,787.7696960000001,559.2190240000001,857.861984,596.892016,23.23869858931149,88.36415321985241,0.18467259079703743
2196,"23.83,87.61",0,fcbk,23.83053690855491,87.61358941192627,west_bengal,24943394.411662225,14489092.008044733,0.0609743,0.0499944,24943360.266054224,14489064.011180732,24943428.557270225,14489120.004908731,860.411832,477.295616,928.703048,533.289344,23.831005357969875,87.60476620388029,0.9004431734039045
2197,"23.98,87.36",0,zigzag,23.981177540144145,87.3595260772705,west_bengal,24919713.992533334,14473733.730137946,0.067395,0.0259977,24919676.251333334,14473719.171425946,24919751.733733334,14473748.288849946,478.086,425.317928,553.5684,454.435352,23.951430643223517,87.33321033382418,4.246022610062474
2198,"22.33,87.94",0,zigzag,22.32676049139469,87.93507112430574,west_bengal,24973358.67904356,14641453.45989982,0.0440142,0.0699624,24973334.03109156,14641414.28095582,24973383.32699556,14641492.638843818,75.947536,847.2394559999999,125.24344,925.597344,22.32521510934664,87.9350092935562,0.17124593346560696
2199,"22.33,87.94",1,zigzag,22.33237697750313,87.93638538990024,west_bengal,24973481.17747556,14640887.528379818,0.0690527,0.0360127,24973442.50796356,14640867.361267818,24973519.84698756,14640907.69549182,184.42440800000003,300.31976799999995,261.763432,340.653992,22.330935919371903,87.93487813568117,0.22265546792773502
2200,"22.33,87.94",2,zigzag,22.329171047760525,87.93435005279541,west_bengal,24973291.470307555,14641210.568859816,0.0595663,0.0407343,24973258.113179557,14641187.757651815,24973324.82743556,14641233.380067818,0.0296239999999969,620.7161520000001,66.74388,666.338568,22.330935919371903,87.93487813568117,0.2028637299039674
2201,"22.55,88.25",0,zigzag,22.54647907718494,88.24606568431857,west_bengal,25002345.47297778,14619296.992706666,0.0249067,0.0534162,25002331.52522578,14619267.079634666,25002359.42072978,14619326.905778663,179.347448,885.423728,207.242952,945.249872,22.546498276509656,88.24596774940495,0.010295678208302579
2202,"22.99,88.41",0,zigzag,22.98797184466964,88.40925705642704,west_bengal,25017556.01130667,14574669.587527027,0.0351022,0.0561262,25017536.35407467,14574638.156855028,25017575.66853867,14574701.018199028,471.095408,733.915728,510.409872,796.777072,22.980468758863086,88.40802215366365,0.8405123057125423
2203,"23.29,85.88",0,fcbk,23.286279787190534,85.87938100452425,west_bengal,24781754.472551115,14544433.230787512,0.0586116,0.0345893,24781721.650055114,14544413.860779513,24781787.29504712,14544452.600795511,469.482944,918.134952,535.127936,956.874968,23.488493114100272,86.07895389728546,30.294754293634956
2204,"23.47,88.24",0,zigzag,23.47370517266545,88.24398824481966,west_bengal,25002151.841582224,14525401.254313665,0.0493131,0.0246387,25002124.226246223,14525387.456641665,25002179.456918225,14525415.051985662,904.116024,169.702008,959.346696,197.297352,23.47208538966851,88.24441726234436,0.18466865519204556
