,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_hospital_long,closest_hospital_lat,dist,distance_km
74,"25.22,87.17",0,zigzag,25.219514179248243,87.16586171970371,bihar,24901663.166097783,14346786.673425471,0.0681266,0.0334361,24901625.01520178,14346767.949209474,24901701.316993784,14346805.397641473,136.13342400000002,591.328584,212.435216,628.777016,87.23,25.22,0.06414012021479544,6.4634252089867505
75,"25.34,84.46",0,zigzag,25.341644050539536,84.458579385376,bihar,24649326.163342223,14334197.657928055,0.0377529,0.0732631,24649305.021718223,14334156.630592056,24649347.304966222,14334238.685264057,406.447496,349.421464,448.730744,431.476136,84.453,25.346,0.007078406379686596,0.7404811800968873
76,"24.79,86.24",0,zigzag,24.788317831278825,86.2371037240982,bihar,24815096.64663111,14391133.450894007,0.0515858,0.0703404,24815067.75858311,14391094.060270008,24815125.53467911,14391172.841518007,261.159472,693.3122559999999,318.935568,772.093504,86.236382,24.798144,0.009852638093979649,1.0908867879620059
77,"26.16,86.77",0,zigzag,26.16166495553717,86.7737719995499,bihar,24865117.75539556,14249337.373695048,0.0442253,0.0720376,24865092.98922756,14249297.032639047,24865142.52156356,14249377.714751048,886.8096720000001,346.762304,936.342008,427.444416,86.796296,26.15733,0.022937358954019386,2.3026406253563163
78,"26.16,86.77",1,zigzag,26.158168857970843,86.77173091144562,bihar,24864927.51219556,14249700.421695048,0.0319547,0.0701316,24864909.61756356,14249661.147999048,24864945.40682756,14249739.695391048,703.4380080000001,710.877664,739.2272720000001,789.425056,86.796296,26.15733,0.02457940720155583,2.45786421842209
79,"25.66,84.96",0,zigzag,25.656671858926448,84.96449133110045,bihar,24696480.5744,14301666.030802611,0.0329289,0.0705334,24696462.134216,14301626.532098612,24696499.014584,14301705.52950661,960.182216,864.641456,997.062584,943.638864,84.962232,25.654989,0.002817195624689534,0.2936317025043785
80,"25.66,84.96",1,zigzag,25.65526858054932,84.95648824939728,bihar,24695734.63312,14301811.13128261,0.0820979,0.0324729,24695688.658296,14301792.946458612,24695780.607944,14301829.31610661,186.706296,1031.055816,278.655944,1067.425464,84.962232,25.654989,0.005750550953585731,0.5775509217568806
81,"25.66,84.96",2,zigzag,25.66303446433836,84.96560623912814,bihar,24696584.49136,14301008.109202612,0.0624032,0.0504679,24696549.545568,14300979.847178612,24696619.437152,14301036.371226612,1047.593568,217.956536,1117.485152,274.480584,84.962232,25.654989,0.008724390300395972,0.9535160554952905
82,"25.66,84.96",3,zigzag,25.659938294387757,84.96284384880066,bihar,24696327.01792,14301328.271282611,0.0858017,0.0538633,24696278.968968,14301298.107834611,24696375.066872,14301358.434730612,777.016968,536.217192,873.114872,596.5440879999999,84.962232,25.654989,0.004986970412138836,0.5517274380361065
83,"25.66,84.96",4,zigzag,25.65583240031857,84.96049495124815,bihar,24696108.0848,14301752.831922611,0.0743792,0.0401917,24696066.432448,14301730.324570611,24696149.737152003,14301775.339274611,564.4804479999999,968.433928,647.785152,1013.448632,84.962232,25.654989,0.0019309744855028506,0.19786370520002688
84,"25.66,84.96",5,zigzag,25.659007593983368,84.96520303230284,bihar,24696546.90976,14301424.509522611,0.0802475,0.034629,24696501.97116,14301405.11728261,24696591.84836,14301443.901762612,1000.01916,643.2266400000001,1089.89636,682.01112,84.962232,25.654989,0.00499761248474381,0.5358961586269579
85,"25.66,84.96",6,zigzag,25.66192971128864,84.96224750404357,bihar,24696271.43456,14301122.348082611,0.070961,0.0421147,24696231.6964,14301098.76385061,24696311.17272,14301145.932314612,729.7444,336.87320800000003,809.22072,384.041672,84.962232,25.654989,0.006940728604952476,0.7689129007701595
86,"25.66,84.96",7,zigzag,25.66136771830758,84.9561032953262,bihar,24695698.7528,14301180.46152261,0.0722375,0.0355955,24695658.2998,14301160.52804261,24695739.2058,14301200.395002613,156.3478,398.6374,237.2538,438.50436,84.962232,25.654989,0.008845850339345736,0.937027841087908
87,"25.66,84.96",8,zigzag,25.6611067963498,84.96117436466217,bihar,24696171.41072,14301207.442322612,0.0353694,0.0618115,24696151.603856,14301172.827882612,24696191.217584,14301242.056762611,649.6518560000001,410.93724,689.265584,480.16612,84.962232,25.654989,0.006208544490090341,0.6860154369226841
88,"25.66,84.96",9,zigzag,25.65833230172276,84.96182031269075,bihar,24696231.61744,14301494.337042611,0.0706517,0.0357341,24696192.052488,14301474.32594661,24696271.182392,14301514.348138612,690.100488,712.4353040000001,769.230392,752.4574960000001,84.962232,25.654989,0.003368553524882202,0.372679711759323
89,"25.19,85.55",0,zigzag,25.191086731643047,85.55535187816619,bihar,24751552.76897778,14349715.128705744,0.0300742,0.0700041,24751535.92742578,14349675.926409744,24751569.61052978,14349754.331001744,1041.989648,408.861544,1075.6727520000002,487.266136,85.558436,25.201473,0.010834499428603896,1.1917988233407666
90,"25.57,84.02",0,zigzag,25.574330794709997,84.01798721027377,bihar,24608259.99617778,14310177.30028569,0.0299011,0.0768452,24608243.25156178,14310134.26697369,24608276.740793783,14310220.33359769,355.64978399999995,69.471808,389.139016,155.53843199999997,83.982483,25.602483,0.04531109808705366,4.738073833176245
91,"24.99,85.87",0,fcbk,24.990357377320237,85.86879960803982,bihar,24780768.214915555,14370373.886849375,0.0266389,0.0652234,24780753.297131557,14370337.361745376,24780783.13269956,14370410.411953377,433.197576,486.724336,463.033144,559.774544,85.841421,24.983725,0.02817049177981066,2.860132822179121
