,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_hospital_long,closest_hospital_lat,dist,distance_km
5476,"28.89,77.74",0,zigzag,28.88978693143341,77.74338440189362,uttar_pradesh,24023424.62600889,13962558.510860257,0.102481,0.0638997,24023367.23664889,13962522.727028254,24023482.01536889,13962594.294692256,818.05976,546.898408,932.83848,618.4660720000002,77.746745,28.890968,0.003562098060359168,0.35296874434569875
5477,"29.13,77.51",0,zigzag,29.126799857123263,77.51125763759615,uttar_pradesh,24001788.843431115,13937298.384728393,0.064149,0.097419,24001752.91999112,13937243.830088392,24001824.766871117,13937352.939368391,641.29688,846.9042400000001,713.14376,956.01352,77.503552,29.127297,0.007721657969829426,0.7519306282215957
5478,"27.15,79.69",0,zigzag,27.146386603194152,79.68585656471251,uttar_pradesh,24204476.154062223,14146639.421429256,0.0467808,0.0668823,24204449.956814226,14146601.967341255,24204502.351310223,14146676.875517257,147.60659199999998,901.037592,200.001088,975.945768,79.688503,27.157427,0.011353148521947772,1.251149258904351
5479,"27.39,82.74",0,zigzag,27.394425761163188,82.73661604270936,uttar_pradesh,24488827.546986666,14120629.578950487,0.0686428,0.0702214,24488789.107018664,14120590.254966488,24488865.986954667,14120668.90293449,206.152352,56.072912,283.03228800000005,134.72088,82.721612,27.374395,0.02502703918567077,2.6700675263418505
5480,"28.21,79.28",0,fcbk,28.21377337022365,79.28143150138854,uttar_pradesh,24166781.006044444,14034291.94744038,0.0512634,0.0691627,24166752.298540443,14034253.21632838,24166809.713548444,14034330.67855238,664.718096,122.152408,722.133104,199.614632,79.293235,28.21129,0.01206191142142713,1.1909635258895885
5481,"28.35,80.11",0,fcbk,28.353133874487213,80.10588849201199,uttar_pradesh,24243625.967235558,14019541.623069216,0.0947775,0.0763462,24243572.891835555,14019498.869197216,24243679.042635556,14019584.376941215,123.70428,185.335248,229.85508,270.842992,80.1103,28.3507,0.005038367567752855,0.5097238365156147
5482,"26.51,82.69",0,zigzag,26.513860115311545,82.68794945507051,uttar_pradesh,24484291.49224889,14212707.986235652,0.0593185,0.0396663,24484258.27388889,14212685.773107652,24484324.71060889,14212730.199363653,335.657,135.716952,402.09372,180.143208,82.684103,26.521902,0.00891443357437381,0.9699934083148373
5483,"27.13,78.83",0,fcbk,27.127199979177814,78.83226044559481,uttar_pradesh,24124915.229244445,14148648.953537237,0.0391584,0.0782163,24124893.300540444,14148605.152409237,24124937.15794845,14148692.754665237,748.760096,809.440632,792.617504,897.0428880000001,78.811623,27.132855,0.021398210700390483,2.1398080640495203
5484,"26.14,79.74",0,fcbk,26.14025730852152,79.73709474792487,uttar_pradesh,24209251.898880005,14251560.254143856,0.0331686,0.0348529,24209233.324464004,14251540.736519856,24209270.473296005,14251579.771767857,270.636464,513.767016,307.785296,552.8022639999999,79.738169,26.154913,0.014695009705112049,1.6272570637487724
5485,"26.73,81.22",0,fcbk,26.727854937578265,81.22416512470247,uttar_pradesh,24347856.903982226,14190397.049638418,0.0911695,0.065239,24347805.849062223,14190360.515798418,24347907.95890222,14190433.58347842,897.1628400000001,747.32056,999.27268,820.38824,81.230863,26.749277,0.0224447386240518,2.46530763684785
