,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_hospital_long,closest_hospital_lat,dist,distance_km
317,"23.13,88.19",0,fcbk,23.12914428916905,88.18502891345979,west_bengal,24996656.433596447,14560368.796223303,0.0487354,0.0220209,24996629.141772445,14560356.464519303,24996683.72542045,14560381.127927303,69.369328,634.397736,123.952976,659.061144,88.193735,23.12615,0.009206612323412945,0.9513893460140119
318,"23.77,87.69",0,fcbk,23.768844224942647,87.6918856092453,west_bengal,24950692.14618667,14495376.614647985,0.0322913,0.056766,24950674.063058667,14495344.825687982,24950710.22931467,14495408.403607983,717.6683919999999,645.92192,753.834648,709.4998400000001,87.699133,23.749083,0.021048294087294837,2.3099816180980413
319,"23.77,87.69",1,fcbk,23.766714516536044,87.69549463176725,west_bengal,24951028.531466667,14495593.513847984,0.0234687,0.0578729,24951015.388994668,14495561.105023982,24951041.673938666,14495625.922671985,1058.994328,862.201256,1085.279272,927.018904,87.699133,23.749083,0.01800300249286172,1.9876852727892693
320,"26.47,89.55",0,zigzag,26.47371111857637,89.5468177362442,west_bengal,25123584.35152,14216889.248759896,0.0643862,0.0339776,25123548.295248,14216870.221303895,25123620.407792,14216908.276215896,227.335248,154.55686400000002,299.447792,192.611776,89.55502,26.47202,0.008374784341053038,0.8390640790461177
321,"23.73,87.23",0,fcbk,23.733891731124235,87.22563157157897,west_bengal,24907234.120071117,14498935.887003032,0.0281862,0.0849388,24907218.335799117,14498888.321275031,24907249.904343117,14498983.452731032,137.048688,116.19171200000002,168.617232,211.323168,87.240383,23.7353,0.014818497281673776,1.5121118729900933
322,"23.73,87.23",1,fcbk,23.735339749545577,87.22432127857209,west_bengal,24907111.991911117,14498788.451771032,0.0543638,0.0291469,24907081.548183117,14498772.129507031,24907142.435639117,14498804.774035033,0.2610719999999999,-5.599999999966743e-05,61.148528,32.644472,87.240383,23.7353,0.016061770613912008,1.6376397372963627
323,"23.47,88.37",0,zigzag,23.474130428538025,88.36856819820402,west_bengal,25013763.534844443,14525358.041353663,0.0726119,0.0399,25013722.872180443,14525335.697353665,25013804.197508443,14525380.385353664,385.883736,117.94272,467.209064,162.63072,88.373267,23.4772,0.005612575814908154,0.5882162339892705
324,"25.37,87.89",0,fcbk,25.366059216357577,87.88734870033257,west_bengal,24968910.626737773,14331679.446609778,0.0739039,0.034584,24968869.24055377,14331660.079569776,24968952.012921773,14331698.81364978,271.494776,947.13808,354.26714400000003,985.87216,87.89598,25.36914,0.009164636479444975,0.9333539716108983
325,"24.18,88.52",0,zigzag,24.178003964176423,88.51592844619745,west_bengal,25027498.505457774,14453639.561970586,0.0382144,0.0680121,25027477.10539377,14453601.475194586,25027519.905521773,14453677.648746584,159.10361600000002,725.848424,201.903744,802.0219760000001,88.526972,24.189194,0.015721863195016107,1.671905691292318
326,"24.18,88.52",1,zigzag,24.178902893957748,88.51440073272701,west_bengal,25027356.11224177,14453547.718610588,0.0474835,0.0681723,25027329.52148177,14453509.542122586,25027382.70300177,14453585.895098587,11.519704,633.915352,64.701224,710.268328,88.499944,24.180306,0.014524662739839485,1.4771474546623207
327,"23.61,88.35",0,zigzag,23.6097754527646,88.3494719678879,west_bengal,25011983.637173336,14511567.160072152,0.0648344,0.04809,25011947.329909336,14511540.229672153,25012019.944437336,14511594.090472154,474.476576,555.91088,547.091104,609.7716800000001,88.337283,23.610067,0.012192454140270072,1.2443778153477312
328,"25.30,88.01",0,zigzag,25.305151522698225,88.01200854797368,west_bengal,24980529.766684446,14337960.596606912,0.034579,0.0514785,24980510.40244445,14337931.768646913,24980549.130924445,14337989.424566912,727.846,0.0624399999999963,766.5744799999999,57.71836,88.0148737,25.317842,0.013009892785136744,1.4351181646912499
329,"25.49,87.91",0,zigzag,25.49404650768638,87.91311711139677,west_bengal,24971312.416728888,14318470.334361998,0.0720229,0.0310446,24971272.08390489,14318452.949386,24971352.749552887,14318487.719337998,810.203016,124.774384,890.8686640000001,159.54433600000002,87.912641,25.498553,0.004531573130256286,0.5015203892091834
330,"23.22,87.74",0,fcbk,23.217834018301534,87.73832330608366,west_bengal,24955020.453244444,14551376.818080943,0.0567396,0.0430072,24954988.67906844,14551352.734048946,24955052.22742045,14551400.902112944,371.946624,755.592768,435.494976,803.7608319999999,87.742483,23.21585,0.0046086204116224955,0.47913016646237744
331,"23.22,87.74",1,fcbk,23.21586014385145,87.73608742179866,west_bengal,24954812.05372444,14551577.008000946,0.0315044,0.0625165,24954794.41126044,14551541.998760946,24954829.69618844,14551612.017240943,177.678816,944.85748,212.963744,1014.87596,87.742483,23.21585,0.0063955862457726305,0.6546446206721734
332,"23.22,87.74",2,fcbk,23.216861380157564,87.73422026958463,west_bengal,24954638.022524443,14551475.463200944,0.0380181,0.0254352,24954616.732388444,14551461.219488945,24954659.31266044,14551489.706912946,-5.599999999772454e-05,864.078208,42.580216,892.565632,87.742483,23.21585,0.008324398100773052,0.8531445020301781
333,"22.76,88.20",0,fcbk,22.76339566086456,88.20267993450162,west_bengal,24998301.628,14597388.451199513,0.0636891,0.0292878,24998265.962104,14597372.050031511,24998337.293896,14597404.852367513,774.122104,200.370352,845.453896,233.172688,88.196567,22.762617,0.006162327560511661,0.6336965035693045
334,"23.07,88.05",0,zigzag,23.06589514325211,88.04634664936064,west_bengal,24983730.309706666,14566777.799778271,0.061376,0.0279125,24983695.939146664,14566762.168778274,24983764.680266667,14566793.430778272,185.11248,960.22052,253.8536,991.48252,88.042983,23.059983,0.00680202726066225,0.7399290838434716
335,"24.29,88.27",0,zigzag,24.28476040873389,88.27044265632631,west_bengal,25004617.57144889,14442727.758653134,0.0518562,0.0432407,25004588.531976894,14442703.543861134,25004646.61092089,14442751.973445134,572.219088,1071.5708080000002,630.298032,1120.000392,88.26991111,24.26974888,0.015020936602802777,1.663586209934258
336,"23.65,88.21",0,zigzag,23.65342408285552,88.20900426959994,west_bengal,24998891.09875556,14507126.420246774,0.0252408,0.0572269,24998876.96390756,14507094.373182774,24998905.23360356,14507158.467310775,453.056352,179.53885599999998,481.326048,243.632984,88.209567,23.66705,0.01363753216426654,1.510207353970223
337,"24.53,88.03",0,zigzag,24.53437366490292,88.02764348411561,west_bengal,24981987.04835556,14417178.34844809,0.0254807,0.0593722,24981972.77916356,14417145.100016093,24982001.31754756,14417211.59688009,326.087608,78.645056,354.625992,145.14192000000003,88.029167,24.523056,0.01141974778638879,1.2630816466866313
338,"22.93,87.75",0,zigzag,22.92944073876001,87.7557017086029,west_bengal,24956640.23776,14580594.40991552,0.0238392,0.0423598,24956626.887808,14580570.68842752,24956653.587712,14580618.13140352,1078.087808,592.877712,1104.787712,640.320688,87.7443457,22.9286651,0.011382466642833964,1.1680170948509003
339,"22.66,87.01",0,fcbk,22.65858489387804,87.01250901470185,west_bengal,24887369.65800889,14607978.645348014,0.0629931,0.0432687,24887334.38187289,14607954.414876014,24887404.93414489,14608002.875820016,758.5809840000001,678.699448,829.133256,727.160392,87.003883,22.6616,0.009137778426026465,0.9473495314393805
340,"22.66,87.01",1,fcbk,22.655754305190765,87.01062457103731,west_bengal,24887194.01512889,14608264.538788017,0.071525,0.0514236,24887153.96112889,14608235.741572017,24887234.069128893,14608293.336004017,578.16024,960.0261440000002,658.2682400000001,1017.620576,87.003883,22.6616,0.008923055970563556,0.9482372508588126
